position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
0	slc35a5	slc35a5	slc35a5	ENSDARG00000000001	0
1	ccdc80	ccdc80	ccdc80	ENSDARG00000000002	0
2	nrf1	nrf1	nrf1	ENSDARG00000000018	1
3	ube2h	ube2h	ube2h	ENSDARG00000000019	0
4	slc9a3r1a	nherf1a	nherf1a	ENSDARG00000000068	0
5	dap	dap	dap	ENSDARG00000000069	0
6	itsn1	itsn1	itsn1	ENSDARG00000000086	0
7	myh10	myh10	myh10	ENSDARG00000000103	0
8	tmem267	tmem267	tmem267	ENSDARG00000000142	0
9	thraa	thraa	thraa	ENSDARG00000000151	0
10	itsn2a	itsn2a	itsn2a	ENSDARG00000000161	1
11	hoxb2a	hoxb2a	hoxb2a	ENSDARG00000000175	1
12	ptpn4b	ptpn4b	ptpn4b	ENSDARG00000000183	0
13	sema6e	sema6cb	sema6cb	ENSDARG00000000189	0
14	krt97	krt97	krt97	ENSDARG00000000212	1
15	usp49	usp49	usp49	ENSDARG00000000229	0
16	slc40a1	slc40a1	slc40a1	ENSDARG00000000241	0
17	dcaf8	dcaf8	dcaf8	ENSDARG00000000324	0
18	cfap300	cfap300	cfap300	ENSDARG00000000349	0
19	prkag3b	prkag3b	prkag3b	ENSDARG00000000369	0
20	triob	triob	triob	ENSDARG00000000370	0
21	pde6a	pde6a	pde6a	ENSDARG00000000380	0
22	matr3l1.1	matr3l1.2	matr3l1.2	ENSDARG00000000394	0
23	si:ch73-314g15.3	si:ch73-314g15.3	si:ch73-314g15.3	ENSDARG00000000423	0
24	slc39a13	slc39a13	slc39a13	ENSDARG00000000442	0
25	nitr2b	nitr2b	nitr2b	ENSDARG00000000460	0
26	cntn2	cntn2	cntn2	ENSDARG00000000472	1
27	tnni1a	tnni1a	tnni1a	ENSDARG00000000474	0
28	pms1	pms1	pms1	ENSDARG00000000476	0
29	upf3b	upf3b	upf3b	ENSDARG00000000489	0
30	stx1b	stx1b	stx1b	ENSDARG00000000503	1
31	ankar	ankar	ankar	ENSDARG00000000516	0
32	ofd1	ofd1	ofd1	ENSDARG00000000529	0
33	asdurf	asnsd1	asnsd1	ENSDARG00000000540	0
34	gtf2e1	gtf2e1	gtf2e1	ENSDARG00000000542	0
35	slc1a4	slc1a4	slc1a4	ENSDARG00000000551	0
36	ttn.1	ttn.1	ttn.1	ENSDARG00000000563	1
37	znf281a	znf281a	znf281a	ENSDARG00000000567	0
38	ell	ell	ell	ENSDARG00000000568	0
39	grasp	tamalin	tamalin	ENSDARG00000000588	0
40	dnah6	dnah6	dnah6	ENSDARG00000000606	1
41	ptpn4a	ptpn4a	ptpn4a	ENSDARG00000000631	0
42	opn1mw4	opn1mw4	opn1mw4	ENSDARG00000000638	0
43	osgepl1	osgepl1	osgepl1	ENSDARG00000000651	0
44	psmb9a	psmb9a	psmb9a	ENSDARG00000000656	0
45	creg2	creg2	creg2	ENSDARG00000000666	0
46	sypl2b	sypl2b	sypl2b	ENSDARG00000000690	0
47	daxx	daxx	daxx	ENSDARG00000000729	0
48	slc6a22.1	slc6a22.1	slc6a22.1	ENSDARG00000000730	0
49	lcmt2	lcmt2	lcmt2	ENSDARG00000000747	0
50	znf511	znf511	znf511	ENSDARG00000000760	0
51	spi1b	spi1b	spi1b	ENSDARG00000000767	0
52	scfd1	scfd1	scfd1	ENSDARG00000000779	0
53	nr4a1	nr4a1	nr4a1	ENSDARG00000000796	0
54	rassf6	rassf6	rassf6	ENSDARG00000000804	0
55	telo2	telo2	telo2	ENSDARG00000000830	0
56	snx9a	snx9a	snx9a	ENSDARG00000000837	0
57	dstyk	dstyk	dstyk	ENSDARG00000000853	0
58	mapk14a	mapk14a	mapk14a	ENSDARG00000000857	0
59	scrib	scrib	scrib	ENSDARG00000000861	0
60	zgc:56699	gtsf1	gtsf1	ENSDARG00000000887	0
61	skap2	skap2	skap2	ENSDARG00000000906	0
62	unk	unk	unk	ENSDARG00000000935	0
63	dzip1	dzip1	dzip1	ENSDARG00000000943	0
64	ncor2	ncor2	ncor2	ENSDARG00000000966	0
65	myh9b	myh9b	myh9b	ENSDARG00000001014	0
66	znf384l	znf384a	znf384a	ENSDARG00000001015	0
67	bysl	bysl	bysl	ENSDARG00000001057	0
68	slc17a6a	slc17a6a	slc17a6a	ENSDARG00000001127	0
69	dicer1	dicer1	dicer1	ENSDARG00000001129	0
70	rimbp2	rimbp2b	rimbp2b	ENSDARG00000001154	0
71	matr3l1.1-1	matr3l1.1	matr3l1.1	ENSDARG00000001162	0
72	hsd17b8	hsd17b8	hsd17b8	ENSDARG00000001169	0
73	arl14ep	arl14ep	arl14ep	ENSDARG00000001210	0
74	mycbp2	mycbp2	mycbp2	ENSDARG00000001220	0
75	map4k2	map4k2	map4k2	ENSDARG00000001234	0
76	puf60b	puf60b	puf60b	ENSDARG00000001241	0
77	srrm1	srrm1	srrm1	ENSDARG00000001244	0
78	pcgf1	pcgf1	pcgf1	ENSDARG00000001249	0
79	gas2a	gas2a	gas2a	ENSDARG00000001259	0
80	psmb8a	psmb8a	psmb8a	ENSDARG00000001303	0
81	g2e3	g2e3	g2e3	ENSDARG00000001313	0
82	slc6a22.2	slc6a22.2	slc6a22.2	ENSDARG00000001354	0
83	mctp2a	mctp2a	mctp2a	ENSDARG00000001414	0
84	actn3b	actn3b	actn3b	ENSDARG00000001431	0
85	slc2a1a	slc2a1a	slc2a1a	ENSDARG00000001437	0
86	inppl1b	inppl1b	inppl1b	ENSDARG00000001442	0
87	mier1b	mier1b	mier1b	ENSDARG00000001447	0
88	adam8a	adam8a	adam8a	ENSDARG00000001452	0
89	tdh2	tdh2	tdh2	ENSDARG00000001463	0
90	mhc1zea	mhc1zea	mhc1zea	ENSDARG00000001470	0
91	skap1	skap1	skap1	ENSDARG00000001498	0
92	sp3a	sp3a	sp3a	ENSDARG00000001549	0
93	tomm34	tomm34	tomm34	ENSDARG00000001557	0
94	kifc1	kifc1	kifc1	ENSDARG00000001558	0
95	csmd2	csmd2	csmd2	ENSDARG00000001559	1
96	prf1.3	prf1.3	prf1.3	ENSDARG00000001572	0
97	echs1	echs1	echs1	ENSDARG00000001578	0
98	nfyal	nfyal	nfyal	ENSDARG00000001621	0
99	kirrel1a	kirrel1a	kirrel1a	ENSDARG00000001634	0
100	psmb13a	psmb13a	psmb13a	ENSDARG00000001656	0
101	gpm6bb	gpm6bb	gpm6bb	ENSDARG00000001676	1
102	uckl1a	uckl1a	uckl1a	ENSDARG00000001686	0
103	flot1a	flot1a	flot1a	ENSDARG00000001710	0
104	si:ch211-247n2.1	s100p	s100p	ENSDARG00000001712	0
105	oc90	oc90	oc90	ENSDARG00000001721	0
106	strn3	strn3	strn3	ENSDARG00000001729	0
107	gulp1a	gulp1a	gulp1a	ENSDARG00000001733	1
108	fkbp8	fkbp8	fkbp8	ENSDARG00000001734	0
109	noc2l	noc2l	noc2l	ENSDARG00000001754	0
110	tnxba	tnxba	tnxba	ENSDARG00000001760	1
111	slc29a2	slc29a2	slc29a2	ENSDARG00000001767	0
112	ptpra	ptpra	ptpra	ENSDARG00000001769	0
113	otol1a	otol1a	otol1a	ENSDARG00000001771	0
114	stim2b	stim2b	stim2b	ENSDARG00000001776	0
115	nup155	nup155	nup155	ENSDARG00000001777	0
116	tspan11	tspan11	tspan11	ENSDARG00000001781	0
117	prkacba	prkacba	prkacba	ENSDARG00000001782	0
118	irx2a	irx2a	irx2a	ENSDARG00000001785	0
119	atp5po	atp5po	atp5po	ENSDARG00000001788	0
120	kcnh6a	kcnh6a	kcnh6a	ENSDARG00000001803	0
121	zgc:112148	zgc:112148	zgc:112148	ENSDARG00000001804	0
122	tnfrsf21	tnfrsf21	tnfrsf21	ENSDARG00000001807	0
123	zmp:0000000521	zmp:0000000521	zmp:0000000521	ENSDARG00000001817	0
124	c3b.2	c3b.2	c3b.2	ENSDARG00000001818	0
125	cfap43	cfap43	cfap43	ENSDARG00000001825	0
126	zgc:112982	zgc:112982	zgc:112982	ENSDARG00000001829	0
127	nalcn	nalcn	nalcn	ENSDARG00000001835	1
128	aff4	aff4	aff4	ENSDARG00000001857	0
129	dbx1b	dbx1b	dbx1b	ENSDARG00000001859	0
130	atp1a1a.4	atp1a1a.4	atp1a1a.4	ENSDARG00000001870	1
131	phgdh	phgdh	phgdh	ENSDARG00000001873	0
132	nav2b	nav2b	nav2b	ENSDARG00000001879	0
133	stx3a	stx3b	stx3b	ENSDARG00000001880	0
134	cacnb3a	cacnb3a	cacnb3a	ENSDARG00000001881	0
135	kbtbd12	kbtbd12	kbtbd12	ENSDARG00000001882	0
136	ppm1ba	ppm1ba	ppm1ba	ENSDARG00000001888	0
137	tuba1a	tuba1a	tuba1a	ENSDARG00000001889	1
138	stt3b	stt3b	stt3b	ENSDARG00000001890	0
139	syt14b	syt14b	syt14b	ENSDARG00000001891	0
140	man2b1	man2b1	man2b1	ENSDARG00000001897	0
141	manea	manea	manea	ENSDARG00000001898	0
142	si:dkey-247m21.3	si:dkey-247m21.3	si:dkey-247m21.3	ENSDARG00000001906	0
143	vill	vill	vill	ENSDARG00000001909	0
144	rorab	rorab	rorab	ENSDARG00000001910	0
145	drd4-rs	drd4-rs	drd4-rs	ENSDARG00000001912	0
146	palmda	palmda	palmda	ENSDARG00000001913	0
147	pink1	pink1	pink1	ENSDARG00000001929	0
148	klhl15	klhl15	klhl15	ENSDARG00000001930	0
149	prkag2b	prkag2b	prkag2b	ENSDARG00000001933	0
150	LO018422.1	LO018422.1	lo018422.1	ENSDARG00000001937	0
151	b3gat3	b3gat3	b3gat3	ENSDARG00000001939	0
152	dnajc1	dnajc1	dnajc1	ENSDARG00000001940	0
153	ak1	ak1	ak1	ENSDARG00000001950	0
154	pfkfb3	pfkfb3	pfkfb3	ENSDARG00000001953	0
155	dock5	dock5	dock5	ENSDARG00000001968	0
156	txlng	txlng	txlng	ENSDARG00000001969	0
157	cthrc1b	cthrc1b	cthrc1b	ENSDARG00000001971	0
158	hsd11b2	hsd11b2	hsd11b2	ENSDARG00000001975	0
159	fkbp16	fkbp16	fkbp16	ENSDARG00000001976	1
160	myhb	myhb	myhb	ENSDARG00000001993	1
161	stxbp1a	stxbp1a	stxbp1a	ENSDARG00000001994	1
162	adamts18	adamts18	adamts18	ENSDARG00000001999	1
163	lmcd1	lmcd1	lmcd1	ENSDARG00000002002	0
164	rxrbb	rxrbb	rxrbb	ENSDARG00000002006	0
165	grb10a	grb10a	grb10a	ENSDARG00000002013	0
166	ppil2	ppil2	ppil2	ENSDARG00000002016	0
167	rictorb	rictorb	rictorb	ENSDARG00000002020	0
168	pygb	pygb	pygb	ENSDARG00000002021	0
169	qkib	qkib	qkib	ENSDARG00000002026	1
170	tox4a	tox4a	tox4a	ENSDARG00000002031	0
171	pfkfb2b	pfkfb2b	pfkfb2b	ENSDARG00000002037	0
172	brf2	brf2	brf2	ENSDARG00000002060	0
173	adss2	adss2	adss2	ENSDARG00000002071	0
174	mnat1	mnat1	mnat1	ENSDARG00000002077	0
175	csnk2a1	csnk2a1	csnk2a1	ENSDARG00000002082	0
176	lamb2	lamb2	lamb2	ENSDARG00000002084	0
177	si:dkeyp-52c3.7	si:dkeyp-52c3.7	si:dkeyp-52c3.7	ENSDARG00000002097	0
178	stam	stam	stam	ENSDARG00000002127	0
179	cwf19l1	cwf19l1	cwf19l1	ENSDARG00000002128	0
180	celf2	celf2	celf2	ENSDARG00000002131	0
181	psme1	psme1	psme1	ENSDARG00000002165	0
182	cacnb1	cacnb1	cacnb1	ENSDARG00000002167	0
183	tra2b	tra2b	tra2b	ENSDARG00000002168	0
184	aplnra	aplnra	aplnra	ENSDARG00000002172	0
185	itfg2	itfg2	itfg2	ENSDARG00000002174	0
186	igbp1	igbp1	igbp1	ENSDARG00000002184	0
187	chmp2bb	chmp2bb	chmp2bb	ENSDARG00000002190	0
188	aspn	aspn	aspn	ENSDARG00000002192	0
189	rho	rho	rho	ENSDARG00000002193	0
190	rhd	rhd	rhd	ENSDARG00000002194	0
191	bach1b	bach1b	bach1b	ENSDARG00000002196	0
192	pygl	pygl	pygl	ENSDARG00000002197	0
193	hspb11	hspb9l	hspb9l	ENSDARG00000002204	0
194	stk25a	stk25a	stk25a	ENSDARG00000002210	0
195	invs	invs	invs	ENSDARG00000002213	0
196	rtca	rtca	rtca	ENSDARG00000002215	0
197	tbx3a	tbx3a	tbx3a	ENSDARG00000002216	0
198	scocb	scocb	scocb	ENSDARG00000002217	0
199	si:dkey-103j14.5	si:dkey-103j14.5	si:dkey-103j14.5	ENSDARG00000002219	0
200	C5H9orf78	zgc:103692	zgc:103692	ENSDARG00000002220	0
201	sypb	sypb	sypb	ENSDARG00000002230	0
202	plpp2a	plpp2a	plpp2a	ENSDARG00000002231	0
203	mmp14a	mmp14a	mmp14a	ENSDARG00000002235	0
204	psmb6	psmb6	psmb6	ENSDARG00000002240	0
205	kcna2a	kcna2a	kcna2a	ENSDARG00000002241	0
206	tbxas1	tbxas1	tbxas1	ENSDARG00000002249	0
207	epb41l3a	epb41l3a	epb41l3a	ENSDARG00000002255	0
208	ca15c	ca15c	ca15c	ENSDARG00000002259	0
209	mrpl41	mrpl41	mrpl41	ENSDARG00000002264	0
210	dcaf13	dcaf13	dcaf13	ENSDARG00000002267	0
211	zfand5b	zfand5b	zfand5b	ENSDARG00000002271	0
212	mcoln1a	mcoln1a	mcoln1a	ENSDARG00000002285	0
213	si:ch211-197g15.6	si:ch211-197g15.9	si:ch211-197g15.9	ENSDARG00000002293	0
214	si:dkey-21p1.3	si:dkey-21p1.3	si:dkey-21p1.3	ENSDARG00000002295	0
215	ankrd22	ankrd22	ankrd22	ENSDARG00000002298	0
216	arsh	arsh	arsh	ENSDARG00000002299	0
217	p2rx2	p2rx2	p2rx2	ENSDARG00000002300	0
218	gins2	gins2	gins2	ENSDARG00000002304	0
219	me3	me3	me3	ENSDARG00000002305	0
220	fabp11b	fabp4b	fabp4b	ENSDARG00000002311	0
221	lhx8a	lhx8a	lhx8a	ENSDARG00000002330	0
222	frmd6	frmd6	frmd6	ENSDARG00000002332	0
223	fam102bb	eeig2b	eeig2b	ENSDARG00000002333	0
224	dlc	dlc	dlc	ENSDARG00000002336	0
225	sgf29	sgf29	sgf29	ENSDARG00000002339	0
226	tubb4b	tubb4bb	tubb4bb	ENSDARG00000002344	0
227	cyp11a1	cyp11a1.1	cyp11a1.1	ENSDARG00000002347	0
228	tagapa	tagapa	tagapa	ENSDARG00000002353	0
229	shpk	shpk	shpk	ENSDARG00000002355	0
230	ubald1a	ubald1a	ubald1a	ENSDARG00000002362	0
231	cers5	cers5	cers5	ENSDARG00000002365	0
232	UBB	si:ch211-202a12.4	si:ch211-202a12.4	ENSDARG00000002369	0
233	mief2	mief2	mief2	ENSDARG00000002377	0
234	atm	atm	atm	ENSDARG00000002385	0
235	tlcd1	tlcd1	tlcd1	ENSDARG00000002391	0
236	ugt5d1	ugt5d1	ugt5d1	ENSDARG00000002394	0
237	cry-dash	cry-dash	cry-dash	ENSDARG00000002396	0
238	gale	gale	gale	ENSDARG00000002401	0
239	ercc3	ercc3	ercc3	ENSDARG00000002402	0
240	nusap1	nusap1	nusap1	ENSDARG00000002403	0
241	si:ch211-225b11.1	si:ch211-225b11.1	si:ch211-225b11.1	ENSDARG00000002405	0
242	zmynd10	zmynd10	zmynd10	ENSDARG00000002406	0
243	pde4cb	pde4cb	pde4cb	ENSDARG00000002411	0
244	prdm1a	prdm1a	prdm1a	ENSDARG00000002445	1
245	arhgef37	arhgef37	arhgef37	ENSDARG00000002463	0
246	rdh14b	rdh14b	rdh14b	ENSDARG00000002467	0
247	ercc6l	ercc6l	ercc6l	ENSDARG00000002479	0
248	wnt7ab	wnt7ab	wnt7ab	ENSDARG00000002483	0
249	noc3l	noc3l	noc3l	ENSDARG00000002487	0
250	itgb6	itgb6	itgb6	ENSDARG00000002494	0
251	C7H16orf87	zgc:92818	zgc:92818	ENSDARG00000002506	0
252	itga10	itga10	itga10	ENSDARG00000002507	0
253	ankrd33ab	ankrd33ab	ankrd33ab	ENSDARG00000002508	0
254	zgc:153911	zgc:153911	zgc:153911	ENSDARG00000002509	0
255	dmbx1b	dmbx1b	dmbx1b	ENSDARG00000002510	0
256	hsdl2	hsdl2	hsdl2	ENSDARG00000002523	0
257	adora2b	adora2b	adora2b	ENSDARG00000002533	0
258	tm9sf4	tm9sf4	tm9sf4	ENSDARG00000002536	0
259	smu1a	smu1a	smu1a	ENSDARG00000002538	0
260	rundc3ab	rundc3ab	rundc3ab	ENSDARG00000002546	0
261	eif3eb	eif3eb	eif3eb	ENSDARG00000002549	0
262	mapkapk2a	mapkapk2a	mapkapk2a	ENSDARG00000002552	0
263	syngr1a	syngr1a	syngr1a	ENSDARG00000002564	1
264	tmod2	tmod2	tmod2	ENSDARG00000002571	0
265	cabp5a	cabp5a	cabp5a	ENSDARG00000002576	0
266	tbx15	tbx15	tbx15	ENSDARG00000002582	1
267	dpysl3	dpysl3	dpysl3	ENSDARG00000002587	1
268	mylpfb	mylpfb	mylpfb	ENSDARG00000002589	1
269	ruvbl1	ruvbl1	ruvbl1	ENSDARG00000002591	0
270	slc45a2	slc45a2	slc45a2	ENSDARG00000002593	1
271	pabpc1l	pabpc1l	pabpc1l	ENSDARG00000002597	0
272	pcsk1	pcsk1	pcsk1	ENSDARG00000002600	0
273	irx7	irx7	irx7	ENSDARG00000002601	0
274	unm_sa1614	unm_sa1614	unm_sa1614	ENSDARG00000002607	0
275	rnf145a	rnf145a	rnf145a	ENSDARG00000002609	0
276	rpa3	rpa3	rpa3	ENSDARG00000002613	0
277	anxa11b	anxa11b	anxa11b	ENSDARG00000002632	0
278	b4galt1	b4galt1	b4galt1	ENSDARG00000002634	0
279	zgc:85722	fam184aa	fam184aa	ENSDARG00000002635	1
280	sh3gl1b	sh3gl1b	sh3gl1b	ENSDARG00000002642	0
281	rgs5a	rgs5a	rgs5a	ENSDARG00000002644	0
282	stxbp5a	stxbp5a	stxbp5a	ENSDARG00000002656	1
283	mapre1b	mapre1b	mapre1b	ENSDARG00000002659	0
284	optn	optn	optn	ENSDARG00000002663	0
285	kcnj1b	kcnj1b	kcnj1b	ENSDARG00000002666	0
286	ATG14	atg14	atg14	ENSDARG00000002670	0
287	tbcela	tbcela	tbcela	ENSDARG00000002682	0
288	fam113	fam113	fam113	ENSDARG00000002685	0
289	rabif	rabif	rabif	ENSDARG00000002690	0
290	gnb3b	gnb3b	gnb3b	ENSDARG00000002696	0
291	rasl12	rasl12	rasl12	ENSDARG00000002701	0
292	her11	her11	her11	ENSDARG00000002707	0
293	ncl	nucleolin	nucleolin	ENSDARG00000002710	0
294	utp15	utp15	utp15	ENSDARG00000002720	0
295	ankrd2	ankrd2	ankrd2	ENSDARG00000002722	0
296	kiss1ra	kiss1ra	kiss1ra	ENSDARG00000002728	0
297	sdc2	sdc2	sdc2	ENSDARG00000002731	0
298	spon2b	spon2b	spon2b	ENSDARG00000002732	0
299	tdh	tdh	tdh	ENSDARG00000002745	0
300	sema6d	sema6ca	sema6ca	ENSDARG00000002748	1
301	phf20a	phf20a	phf20a	ENSDARG00000002750	0
302	pdcd2l	pdcd2l	pdcd2l	ENSDARG00000002754	0
303	dedd1	dedd2	dedd2	ENSDARG00000002758	0
304	gdf5	gdf5	gdf5	ENSDARG00000002760	0
305	miox	miox	miox	ENSDARG00000002764	0
306	pvalb2	pvalb2	pvalb2	ENSDARG00000002768	1
307	si:ch211-48m9.1	slc4a5a	slc4a5a	ENSDARG00000002771	0
308	pdx1	pdx1	pdx1	ENSDARG00000002779	0
309	tle3a	tle3a	tle3a	ENSDARG00000002787	0
310	ap2m1a	ap2m1a	ap2m1a	ENSDARG00000002790	0
311	atp1a1a.1	atp1a1a.1	atp1a1a.1	ENSDARG00000002791	0
312	arcn1a	arcn1a	arcn1a	ENSDARG00000002792	0
313	meis3	meis3	meis3	ENSDARG00000002795	1
314	BX908804.1	BX908804.1	bx908804.1	ENSDARG00000002797	0
315	cog8	cog8	cog8	ENSDARG00000002798	0
316	rasgrf2b	rasgrf2b	rasgrf2b	ENSDARG00000002816	1
317	cep57l1	cep57l1	cep57l1	ENSDARG00000002826	0
318	trmt2a	trmt2a	trmt2a	ENSDARG00000002830	0
319	col4a4	col4a4	col4a4	ENSDARG00000002831	1
320	si:dkey-28b4.8	si:dkey-28b4.8	si:dkey-28b4.8	ENSDARG00000002840	1
321	fndc1	fndc1	fndc1	ENSDARG00000002847	0
322	zgc:113210	zgc:113210	zgc:113210	ENSDARG00000002872	0
323	reps1	reps1	reps1	ENSDARG00000002877	0
324	vps50	vps50	vps50	ENSDARG00000002880	0
325	aven	aven	aven	ENSDARG00000002894	0
326	si:ch211-160o17.2	inpp1	inpp1	ENSDARG00000002897	0
327	tjp3	tjp3	tjp3	ENSDARG00000002909	0
328	adipor1a	adipor1a	adipor1a	ENSDARG00000002912	0
329	sec31b	sec31b	sec31b	ENSDARG00000002916	0
330	gls2b	gls2b	gls2b	ENSDARG00000002917	0
331	gbx2	gbx2	gbx2	ENSDARG00000002933	0
332	meis1a	meis1a	meis1a	ENSDARG00000002937	0
333	bgnb	bgnb	bgnb	ENSDARG00000002945	0
334	abcd3b	abcd3b	abcd3b	ENSDARG00000002947	0
335	ppp6c	ppp6c	ppp6c	ENSDARG00000002949	0
336	smo	smo	smo	ENSDARG00000002952	1
337	si:dkey-32n7.4	itgam.1	itgam.1	ENSDARG00000002956	0
338	gpr34b	gpr34b	gpr34b	ENSDARG00000002959	0
339	pdap1b	pdap1b	pdap1b	ENSDARG00000002967	0
340	a1cf	a1cf	a1cf	ENSDARG00000002968	0
341	ss18	ss18	ss18	ENSDARG00000002970	0
342	phc1	phc1	phc1	ENSDARG00000002971	0
343	gda	gda	gda	ENSDARG00000002986	0
344	tnnt2d	tnnt2d	tnnt2d	ENSDARG00000002988	1
345	cep135	cep135	cep135	ENSDARG00000002991	0
346	itpkca	itpkca	itpkca	ENSDARG00000002994	0
347	prkcea	prkcea	prkcea	ENSDARG00000003008	0
348	ube2al	ube2al	ube2al	ENSDARG00000003017	0
349	lrrc4.2	lrrc4.2	lrrc4.2	ENSDARG00000003020	0
350	hdac8	hdac8	hdac8	ENSDARG00000003021	0
351	limk1b	limk1b	limk1b	ENSDARG00000003022	0
352	scnm1	scnm1	scnm1	ENSDARG00000003027	0
353	eif4a1b	eif4a1b	eif4a1b	ENSDARG00000003032	0
354	hspa9	hspa9	hspa9	ENSDARG00000003035	0
355	CABZ01111496.1	CABZ01111496.1	cabz01111496.1	ENSDARG00000003041	0
356	sorbs2a	sorbs2a	sorbs2a	ENSDARG00000003046	1
357	tacr3l	tacr3l	tacr3l	ENSDARG00000003054	0
358	fgfr1op	cep43	cep43	ENSDARG00000003058	0
359	cd276	cd276	cd276	ENSDARG00000003061	0
360	gorasp1a	gorasp1a	gorasp1a	ENSDARG00000003068	0
361	btbd7	btbd7	btbd7	ENSDARG00000003069	0
362	gpx9	gpx9	gpx9	ENSDARG00000003077	0
363	mybphb	mybphb	mybphb	ENSDARG00000003081	0
364	spire2	spire2	spire2	ENSDARG00000003084	0
365	stambpl1	stambpl1	stambpl1	ENSDARG00000003085	0
366	ubxn6	ubxn6	ubxn6	ENSDARG00000003087	0
367	or103-4	or30bt4	or30bt4	ENSDARG00000003090	0
368	oclnb	oclnb	oclnb	ENSDARG00000003091	0
369	kdm5bb	kdm5bb	kdm5bb	ENSDARG00000003098	0
370	rcan1a	rcan1a	rcan1a	ENSDARG00000003109	0
371	ada	ada	ada	ENSDARG00000003113	0
372	zgc:123105	zgc:123105	zgc:123105	ENSDARG00000003127	0
373	dachc	dachc	dachc	ENSDARG00000003142	1
374	pxmp2	pxmp2	pxmp2	ENSDARG00000003144	0
375	si:dkey-27m7.4	si:dkey-27m7.4	si:dkey-27m7.4	ENSDARG00000003146	0
376	skp1	skp1	skp1	ENSDARG00000003151	0
377	nudt21	nudt21	nudt21	ENSDARG00000003153	0
378	nfkbil1	nfkbil1	nfkbil1	ENSDARG00000003157	0
379	nr2f6b	nr2f6b	nr2f6b	ENSDARG00000003165	0
380	mlst8	mlst8	mlst8	ENSDARG00000003167	0
381	magi1b	magi1b	magi1b	ENSDARG00000003169	0
382	stx5al	stx5al	stx5al	ENSDARG00000003175	0
383	sult1st4	sult1st4	sult1st4	ENSDARG00000003181	0
384	psmd1	psmd1	psmd1	ENSDARG00000003189	0
385	rassf7b	rassf7b	rassf7b	ENSDARG00000003193	0
386	wdr21	dcaf4	dcaf4	ENSDARG00000003197	0
387	foxm1	foxm1	foxm1	ENSDARG00000003200	0
388	rhcga	rhcga	rhcga	ENSDARG00000003203	0
389	ngly1	ngly1	ngly1	ENSDARG00000003205	0
390	chchd6a	chchd6a	chchd6a	ENSDARG00000003206	0
391	mterf3	mterf3	mterf3	ENSDARG00000003207	0
392	pomk	pomk	pomk	ENSDARG00000003208	0
393	ano2a	ano2a	ano2a	ENSDARG00000003210	0
394	naa15a	naa15a	naa15a	ENSDARG00000003213	0
395	anxa2a	anxa2a	anxa2a	ENSDARG00000003216	0
396	urb2	urb2	urb2	ENSDARG00000003217	0
397	bin2a	bin2a	bin2a	ENSDARG00000003219	0
398	gdf9	gdf9	gdf9	ENSDARG00000003229	0
399	nup88	nup88	nup88	ENSDARG00000003235	0
400	gbp3	gbp3	gbp3	ENSDARG00000003244	0
401	pik3cd	pik3cd	pik3cd	ENSDARG00000003250	0
402	zbtb22b	zbtb22b	zbtb22b	ENSDARG00000003251	0
403	zgc:101559	zgc:101559	zgc:101559	ENSDARG00000003257	0
404	loxa	loxa	loxa	ENSDARG00000003259	0
405	clcn3	clcn3	clcn3	ENSDARG00000003269	0
406	dhps	dhps	dhps	ENSDARG00000003270	0
407	pik3ip1	pik3ip1	pik3ip1	ENSDARG00000003281	0
408	wdr12	wdr12	wdr12	ENSDARG00000003287	0
409	dab1b	dab1b	dab1b	ENSDARG00000003290	0
410	sox9a	sox9a	sox9a	ENSDARG00000003293	0
411	stc1	stc1	stc1	ENSDARG00000003303	0
412	stx16	stx16	stx16	ENSDARG00000003307	0
413	emc2	emc2	emc2	ENSDARG00000003308	0
414	pank2	pank2	pank2	ENSDARG00000003311	0
415	eps8l1b	eps8l1b	eps8l1b	ENSDARG00000003313	0
416	fam91a1	fam91a1	fam91a1	ENSDARG00000003320	0
417	cacng5a	cacng5a	cacng5a	ENSDARG00000003326	0
418	slf2	slf2	slf2	ENSDARG00000003328	0
419	trpc2b	trpc2b	trpc2b	ENSDARG00000003344	0
420	commd2	commd2	commd2	ENSDARG00000003373	0
421	gng12a	gng12a	gng12a	ENSDARG00000003375	0
422	si:dkey-275b16.2	paox	paox	ENSDARG00000003380	0
423	si:ch211-266g18.6	si:ch211-266g18.6	si:ch211-266g18.6	ENSDARG00000003381	0
424	cwc25	cwc25	cwc25	ENSDARG00000003382	0
425	asb8	asb8	asb8	ENSDARG00000003383	0
426	col4a3	col4a3	col4a3	ENSDARG00000003395	0
427	rbpja	rbpja	rbpja	ENSDARG00000003398	0
428	fgf8a	fgf8a	fgf8a	ENSDARG00000003399	0
429	tenm1	tenm1	tenm1	ENSDARG00000003403	1
430	foxa2	foxa2	foxa2	ENSDARG00000003411	0
431	capslb	capslb	capslb	ENSDARG00000003414	0
432	chrna5	chrna5	chrna5	ENSDARG00000003420	0
433	igf2bp2a	igf2bp2a	igf2bp2a	ENSDARG00000003421	0
434	hnrnpdl	hnrnpdl	hnrnpdl	ENSDARG00000003429	0
435	dhrs7	dhrs7	dhrs7	ENSDARG00000003444	0
436	ippk	ippk	ippk	ENSDARG00000003446	0
437	pde10a	pde10a	pde10a	ENSDARG00000003449	1
438	fech	fech	fech	ENSDARG00000003462	0
